,sr_id,error_codes,log_timestamp
2290,1-172374512951,200281001,2015-06-02 19:00:13
2291,1-172374512951,200600034,2015-06-02 19:00:16
2292,1-172374512951,200600034,2015-06-02 19:08:11
2293,1-172401413371,0,2015-06-02 19:24:11
2294,1-172401413371,230023009,2015-06-02 19:42:50
2295,1-172401413371,230023010,2015-06-02 19:44:11
2296,1-172401413371,200109109,2015-06-02 19:46:29
2297,1-172401413371,200281001,2015-06-02 19:58:42
2298,1-172401413371,200281001,2015-06-02 20:00:50
2299,1-172401413371,200109110,2015-06-02 20:01:25
2300,1-172401413371,210000454,2015-06-02 20:01:26
2301,1-172401413371,200281001,2015-06-02 20:02:19
2302,1-172401413371,200281001,2015-06-02 20:02:25
2303,1-172401413371,200281001,2015-06-02 20:02:55
2304,1-172401413371,200281001,2015-06-02 20:02:58
2305,1-172401413371,200281001,2015-06-02 20:03:46
2306,1-172401413371,200281001,2015-06-02 20:03:52
2307,1-172620856351,200109109,2015-06-02 20:06:33
2308,1-172620856351,200109110,2015-06-02 20:14:12
2309,1-172620856351,200281001,2015-06-02 20:14:12
2310,1-172620856351,210000454,2015-06-02 20:15:04
2311,1-172620856351,200281001,2015-06-02 20:15:04
2312,1-172620856351,200281001,2015-06-02 20:15:41
2313,1-172620856351,200281001,2015-06-02 20:15:44
2314,1-172620856351,200109099,2015-06-02 20:28:55
2315,1-172620856351,200109110,2015-06-02 20:28:55
2316,1-172618744961,230023009,2015-06-02 21:52:01
2317,1-172618744961,230023010,2015-06-02 21:53:10
2318,1-172618744961,200109109,2015-06-02 21:53:30
2319,1-172618744961,200281001,2015-06-02 22:08:43
2320,1-172618744961,200281001,2015-06-02 22:09:16
2321,1-172618744961,200281001,2015-06-02 22:09:39
2322,1-172618744961,200281001,2015-06-02 22:10:05
2323,1-172618744961,200281001,2015-06-02 22:10:20
2324,1-172618744961,200109110,2015-06-02 22:10:20
2325,1-172618744961,210000454,2015-06-02 22:10:52
2326,1-172618744961,200281001,2015-06-02 22:10:52
2327,1-172618744961,200281001,2015-06-02 22:11:15
2328,1-172618744961,200281001,2015-06-02 22:11:39
2329,1-172620856351,230023009,2015-06-02 22:33:27
